"ID","Instrumento","Angulo","Pedal","AssetValidado","MatrizVisual","HeadlineArte","TextoPrincipal","Titulo","Descricao","CTA","URL","Arquivo"
"CG18","Guitarra","Referências","MVAVE MK300","assets/img/equipment/originals/mk-300.webp","assets/creativos-instagram/finais/04-guitarra-universo-mk-300.png","NÃO EXISTE UMA RESPOSTA ÚNICA","Cada referência muda o ponto de partida do seu timbre. Use o pack para conhecer diferentes famílias de respostas e criar favoritos no MK300. O foco é o pack de IRs; o MVAVE MK300 aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Compare diferentes referências","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG18-guitarra-referencias-mk300.png"
"CG19","Guitarra","Setup compacto","Tank Mini","assets/img/equipment/originals/tank-mini.webp","assets/creativos-instagram/finais/05-guitarra-portabilidade-tank-mini.png","SETUP PEQUENO. BIBLIOTECA GRANDE.","O Tank Mini mantém o setup enxuto, enquanto os IRs ampliam as opções de caixa disponíveis. Mais caminhos de timbre sem adicionar outro equipamento físico. O foco é o pack de IRs; o Tank Mini aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Mais possibilidades no setup compacto","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG19-guitarra-setup-compacto-tank-mini.png"
"CG20","Guitarra","Curadoria","Tank G","assets/img/equipment/originals/tank-g.webp","assets/creativos-instagram/finais/01-guitarra-quantidade-tank-g.png","NÃO COLECIONE IRs. ENCONTRE FAVORITOS.","Uma boa biblioteca não serve apenas para acumular arquivos. Ela ajuda você a comparar respostas, separar favoritos e construir timbres que realmente entram no seu dia a dia. O foco é o pack de IRs; o Tank G aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Transforme arquivos em favoritos","IRs para explorar cleans, crunches e sons de alto ganho.","Saiba mais","https://mvave.com.br/guitar/","img-criativos/guitarra/CG20-guitarra-curadoria-tank-g.png"
"CB01","Baixo","Mix","Tank B","assets/img/equipment/originals/tank-b.webp","assets/creativos-instagram/finais/11-baixo-quantidade-tank-b.png","GRAVE QUE APARECE SEM INVADIR","O baixo precisa sustentar a música sem esconder o restante. Compare IRs no Tank B e busque o equilíbrio entre grave, médio e definição para cada mix. O foco é o pack de IRs; o Tank B aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Encontre o lugar do baixo na mix","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB01-baixo-mix-tank-b.png"
"CB02","Baixo","Quantidade validada","MVAVE MK300","assets/img/equipment/originals/mk-300.webp","assets/creativos-instagram/finais/14-baixo-versatilidade-mk-300.png","2.179 IRs. MUITAS RESPOSTAS DE BAIXO.","São 2.179 arquivos WAV de IR para baixo, com diferentes referências para comparar no MK300 e em equipamentos compatíveis. Escolha pelo contexto, não pelo acaso. O foco é o pack de IRs; o MVAVE MK300 aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","2.179 caminhos para seu baixo","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB02-baixo-quantidade-mk300.png"
"CB03","Baixo","Definição","Cube Baby Bass","assets/img/equipment/originals/cube-baby-bass.webp","assets/creativos-instagram/finais/12-baixo-definicao-cube-baby-bass.png","DEFINIÇÃO SEM PERDER PESO","Procure respostas que deixam cada nota mais clara sem esvaziar o grave. O pack amplia as possibilidades do Cube Baby Bass para diferentes técnicas e arranjos. O foco é o pack de IRs; o Cube Baby Bass aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Definição com corpo","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB03-baixo-definicao-cube-baby-bass.png"
"CB04","Baixo","Grave fundamental","IRbox","assets/img/equipment/originals/ir-box.webp","assets/creativos-instagram/finais/15-baixo-grave-fundamental-ir-box.png","O GRAVE CERTO SUSTENTA A MÚSICA","Cada caixa reage de um jeito na região grave. Teste IRs no IRbox e encontre a resposta que sustenta a faixa com firmeza e equilíbrio. O foco é o pack de IRs; o IRbox aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Construa um grave mais firme","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB04-baixo-grave-fundamental-irbox.png"
"CB05","Baixo","Encaixe","Tank B","assets/img/equipment/originals/tank-b.webp","assets/creativos-instagram/finais/11-baixo-quantidade-tank-b.png","SEU BAIXO BRIGA COM A MIX?","Quando o baixo some ou ocupa espaço demais, mudar o IR pode revelar outro equilíbrio. Compare respostas no Tank B antes de refazer todo o seu timbre. O foco é o pack de IRs; o Tank B aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Faça o baixo encaixar","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB05-baixo-encaixe-tank-b.png"
"CB06","Baixo","Corpo","MVAVE MK300","assets/img/equipment/originals/mk-300.webp","assets/creativos-instagram/finais/14-baixo-versatilidade-mk-300.png","CORPO NÃO É SÓ MAIS GRAVE","Um baixo encorpado não depende apenas de aumentar as frequências graves. Explore IRs que equilibram médios, ataque e sustentação no MK300. O foco é o pack de IRs; o MVAVE MK300 aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Mais corpo com equilíbrio","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB06-baixo-corpo-mk300.png"
"CB07","Baixo","Respostas de caixa","Cube Baby Bass","assets/img/equipment/originals/cube-baby-bass.webp","assets/creativos-instagram/finais/12-baixo-definicao-cube-baby-bass.png","4x10? 8x10? OU OUTRA RESPOSTA?","Diferentes referências de caixa mudam ataque, extensão e presença. Use o pack para comparar opções no Cube Baby Bass e entender o que funciona no seu som. O foco é o pack de IRs; o Cube Baby Bass aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Compare respostas de caixa","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB07-baixo-respostas-cube-baby-bass.png"
"CB08","Baixo","Presença","IRbox","assets/img/equipment/originals/ir-box.webp","assets/creativos-instagram/finais/15-baixo-grave-fundamental-ir-box.png","PRESENÇA SEM AUMENTAR O VOLUME","Nem sempre o baixo precisa ficar mais alto. Uma resposta de caixa com o equilíbrio adequado pode melhorar a leitura do instrumento dentro da mix. O foco é o pack de IRs; o IRbox aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Mais presença, não apenas volume","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB08-baixo-presenca-irbox.png"
"CB09","Baixo","Articulação","Tank B","assets/img/equipment/originals/tank-b.webp","assets/creativos-instagram/finais/11-baixo-quantidade-tank-b.png","OUÇA O ATAQUE. SINTA O PESO.","Explore IRs que preservam o ataque das notas e mantêm o peso necessário. Compare no Tank B e escolha de acordo com sua técnica e repertório. O foco é o pack de IRs; o Tank B aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Ataque com peso","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB09-baixo-articulacao-tank-b.png"
"CB10","Baixo","Variedade","MVAVE MK300","assets/img/equipment/originals/mk-300.webp","assets/creativos-instagram/finais/14-baixo-versatilidade-mk-300.png","UM BAIXO. VÁRIAS PERSONALIDADES.","O mesmo instrumento pode assumir papéis diferentes conforme a resposta de caixa. Amplie as possibilidades do MK300 com IRs para contextos variados. O foco é o pack de IRs; o MVAVE MK300 aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Várias personalidades de baixo","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB10-baixo-variedade-mk300.png"
"CB11","Baixo","Comparação","Cube Baby Bass","assets/img/equipment/originals/cube-baby-bass.webp","assets/creativos-instagram/finais/12-baixo-definicao-cube-baby-bass.png","MUDE SÓ O IR. OUÇA A DIFERENÇA.","Mantenha a regulagem, troque apenas o IR e escute como mudam grave, médio e ataque. Assim fica mais fácil criar favoritos no Cube Baby Bass. O foco é o pack de IRs; o Cube Baby Bass aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Compare uma variável por vez","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB11-baixo-compare-cube-baby-bass.png"
"CB12","Baixo","Palheta e dedos","IRbox","assets/img/equipment/originals/ir-box.webp","assets/creativos-instagram/finais/15-baixo-grave-fundamental-ir-box.png","DEDOS OU PALHETA? A CAIXA RESPONDE.","A forma de tocar muda a resposta do baixo. Teste referências diferentes no IRbox para encontrar opções que funcionem com dedos, palheta e variações de dinâmica. O foco é o pack de IRs; o IRbox aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","IRs para sua forma de tocar","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB12-baixo-palheta-dedos-irbox.png"
"CB13","Baixo","Organização","Tank B","assets/img/equipment/originals/tank-b.webp","assets/creativos-instagram/finais/11-baixo-quantidade-tank-b.png","SEUS FAVORITOS. NO LUGAR CERTO.","Uma biblioteca organizada facilita comparar respostas e voltar ao que funcionou. Use o pack para construir uma seleção prática de IRs no Tank B. O foco é o pack de IRs; o Tank B aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Organize seus timbres de baixo","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB13-baixo-organizacao-tank-b.png"
"CB14","Baixo","Definição em afinações baixas","MVAVE MK300","assets/img/equipment/originals/mk-300.webp","assets/creativos-instagram/finais/14-baixo-versatilidade-mk-300.png","AFINAÇÃO BAIXA. NOTAS LEGÍVEIS.","Em afinações mais baixas, a escolha do IR pode ajudar a equilibrar peso e leitura. Compare respostas no MK300 e encontre um ponto mais definido. O foco é o pack de IRs; o MVAVE MK300 aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Mais leitura em afinações baixas","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB14-baixo-afinacoes-baixas-mk300.png"
"CB15","Baixo","Timbre redondo","Cube Baby Bass","assets/img/equipment/originals/cube-baby-bass.webp","assets/creativos-instagram/finais/12-baixo-definicao-cube-baby-bass.png","GRAVE REDONDO. SEM FICAR OPACO.","Busque uma resposta cheia, mas ainda articulada. Os IRs permitem comparar diferentes equilíbrios no Cube Baby Bass até encontrar o que combina com a faixa. O foco é o pack de IRs; o Cube Baby Bass aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Grave redondo com clareza","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB15-baixo-redondo-cube-baby-bass.png"
"CB16","Baixo","Problema-solução","Tank B","assets/img/equipment/originals/tank-b.webp","assets/creativos-instagram/finais/11-baixo-quantidade-tank-b.png","O BAIXO SOME QUANDO A BANDA ENTRA?","Se o timbre desaparece na mix, talvez falte presença na região certa. Teste outros IRs no Tank B e avalie o baixo junto com a música. O foco é o pack de IRs; o Tank B aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Não deixe o baixo desaparecer","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB16-baixo-some-na-mix-tank-b.png"
"CB17","Baixo","Possibilidades","IRbox","assets/img/equipment/originals/ir-box.webp","assets/creativos-instagram/finais/15-baixo-grave-fundamental-ir-box.png","MAIS CAIXAS. MAIS DECISÕES PELO OUVIDO.","Uma única resposta pode limitar suas escolhas. Carregue diferentes IRs no IRbox, compare em contexto e separe as opções que realmente funcionam. O foco é o pack de IRs; o IRbox aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Amplie suas opções de caixa","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB17-baixo-possibilidades-irbox.png"
"CB18","Baixo","Contexto musical","MVAVE MK300","assets/img/equipment/originals/mk-300.webp","assets/creativos-instagram/finais/14-baixo-versatilidade-mk-300.png","O TIMBRE MUDA COM A MÚSICA","O que funciona em uma faixa pode não funcionar em outra. Tenha diferentes IRs à mão no MK300 para adaptar peso, presença e definição ao arranjo. O foco é o pack de IRs; o MVAVE MK300 aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Um IR para cada contexto","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB18-baixo-contexto-mk300.png"
"CB19","Baixo","Equilíbrio","Cube Baby Bass","assets/img/equipment/originals/cube-baby-bass.webp","assets/creativos-instagram/finais/12-baixo-definicao-cube-baby-bass.png","PESO. ATAQUE. ESPAÇO.","Ao testar um IR, observe peso, ataque e espaço na mix. Essa leitura ajuda a escolher respostas mais úteis para o Cube Baby Bass e para o seu repertório. O foco é o pack de IRs; o Cube Baby Bass aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Compare o que importa","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB19-baixo-equilibrio-cube-baby-bass.png"
"CB20","Baixo","Curadoria","Tank B","assets/img/equipment/originals/tank-b.webp","assets/creativos-instagram/finais/11-baixo-quantidade-tank-b.png","NÃO É SOBRE TER MAIS. É SOBRE ESCOLHER MELHOR.","Quantidade abre possibilidades, mas a escolha final é sua. Compare a biblioteca no Tank B, organize favoritos e construa um conjunto de respostas que você realmente usa. O foco é o pack de IRs; o Tank B aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Escolha seus IRs favoritos","IRs para buscar peso, presença e definição na mix.","Saiba mais","https://mvave.com.br/bass/","img-criativos/baixo/CB20-baixo-curadoria-tank-b.png"
"CV01","Violão","Naturalidade","Cube Baby AC","assets/img/equipment/originals/cube-baby-ac.webp","assets/creativos-instagram/finais/26-violao-som-em-linha-cube-baby-ac.png","MENOS PIEZO. MAIS VIOLÃO.","O som direto do captador pode ficar duro ou estreito. Experimente IRs no Cube Baby AC para buscar mais corpo, equilíbrio e sensação de instrumento. O foco é o pack de IRs; o Cube Baby AC aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Som em linha mais natural","IRs para um som em linha mais natural e organizado.","Saiba mais","https://mvave.com.br/violao/","img-criativos/violao/CV01-violao-naturalidade-cube-baby-ac.png"
"CV02","Violão","Organização","MVAVE MK300","assets/img/equipment/originals/mk-300.webp","assets/creativos-instagram/finais/25-violao-aco-nylon-mk-300.png","AÇO E NYLON. SEM CONFUSÃO.","Separe opções para aço e nylon, compare características e encontre respostas adequadas para cada instrumento. Uma biblioteca organizada agiliza o uso no MK300. O foco é o pack de IRs; o MVAVE MK300 aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Organize seus IRs de violão","IRs para um som em linha mais natural e organizado.","Saiba mais","https://mvave.com.br/violao/","img-criativos/violao/CV02-violao-organizacao-mk300.png"
"CV03","Violão","Quantidade validada","Cube Baby AC","assets/img/equipment/originals/cube-baby-ac.webp","assets/creativos-instagram/finais/26-violao-som-em-linha-cube-baby-ac.png","227 IRs. NOVAS REFERÊNCIAS.","Explore 227 arquivos WAV de IR para violão, com opções para aço e nylon e diferentes referências de instrumento. Compare no Cube Baby AC e escolha pelo ouvido. O foco é o pack de IRs; o Cube Baby AC aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","227 respostas para explorar","IRs para um som em linha mais natural e organizado.","Saiba mais","https://mvave.com.br/violao/","img-criativos/violao/CV03-violao-quantidade-cube-baby-ac.png"
"CV04","Violão","Som em linha","IRbox","assets/img/equipment/originals/ir-box.webp","assets/creativos-instagram/finais/23-violao-madeira-ir-box.png","SEU SOM EM LINHA PODE TER MAIS CORPO","Ao ligar o violão direto, a resposta pode perder corpo e naturalidade. Carregue diferentes IRs no IRbox e encontre um equilíbrio mais agradável. O foco é o pack de IRs; o IRbox aparece como contexto de uso. Conheça a biblioteca e veja as possibilidades para seu timbre.","Mais corpo no som em linha","IRs para um som em linha mais natural e organizado.","Saiba mais","https://mvave.com.br/violao/","img-criativos/violao/CV04-violao-som-em-linha-irbox.png"
